Shimaore / Maore,Français
"Neka dunga lini libvingi amani, saɓu wakazi kawavuka na zi zitriko za wukoloni.","Si cette nouvelle phase voit revenir la paix, elle n'épargne pas les habitants de l'île de la violence coloniale."
"Triɓwi moni na yi haushi ya wukoloni, tarehi ya masiwa ya komoru yitolea, ha hafula, hari mwa ɓakia la bvili la yi karni ya 20, han mwa li pengwa la yi hawa ya zi nguhuru.","Engluée dans une atonie propre à la domination coloniale, l'histoire de l'archipel des Comores s'accélère brusquement dans la seconde moitié du xxe siècle dans le sillage du mouvement des indépendances."
"Neka zisiwa zasalia zitsahua, ha wu wuengi, wu wuhuru, maore yibva mengo ndzia yio.","Alors que les autres îles se prononcent massivement pour l'indépendance, mayotte rejette cette perspective."
"Tsio bvungia muvitra baina ya maserelame na masuruda wabvinga zao ziɓubu za mifaraka, wuhali na shiengo zilio wuka amba musarifu-bao-la mizaha kaziɓala pumu.","Dès lors, s'engage un combat entre pro sérélamé et anti soroda indépendance avec son lot de divisions, de violences et de rancœurs que le scénariste ne passe pas sous silence."
"Tamatiliumuri, maore yishindri yihamara yi daula ya farantsa ha li ɓa la shengini ya wu wakazi na ya madwamana ya yi shisiwa.","Au bout, Mayotte réussit y à s'arrimer à la république grâce à la mobilisation de la majeure partie de la population et à ses élus."
Mavuna mabole ya yi kondro yini ɗe li patro la yi departima 2011.,L'aboutissement ultime de ce combat est l'obtention du statut de département d'outre-mer en 2011.
"Tsi tu ɓasi, ɓaâda ya yi hadisi ya yi tarehi, tsina yakini amba muɓina wa shio ya matokutoku wunu, hari mwa wuangiha yi tarehi ya maore, wutsoɓua mipango mibvia ya wutamaduni na misomedzeyo.","Par ailleurs, en plus du récit historique, je suis convaincu que cette bande dessinée inédite dans l'écriture de l'histoire de mayotte, va ouvrir de nouvelles perspectives culturelles et pédagogiques."
"Wutamaduni raɓuzi, ha yi ɓitana ya mahifu ya wamaore wa aswili, wakizi-mbeli wa yi maore na kula bvahanu bvwa tarehi, tsi tu.","Culturelles, d'abord, par la constitution d'une banque iconographique sur les proto-mahorais, les grands personnages qui ont fait mayotte, les lieux d'histoire et de mémoire et plus encore."
"Ha mahifu yanu, shio yini yisuja wurozi yi jana yaka wutamukiwa tu ha makalima.","Il est vrai que cet ouvrage redonne vie, grâce aux images, à un passé jusqu'alors réduit aux mots."
"Misomedzeyo kira yini, ha siɓaɓu mambo ya mahifu kinga ya musomo yiruhusuo mutrilio ndziani wa nauyi nyengi za mipango.","Pédagogiques, ensuite, car le 9ème art est un support d'apprentissage propice à la mise en œuvre de projets pluridisciplinaires."
"Ha zizo, ɓila shaka, shombo pia ya musomo yini yitsomidza huɓa ya wusoma ha wu watiti na wu waɓole.","A cet effet, je ne doute pas que ce nouveau médium saura cultiver le goût pour la lecture et éveiller l'imagination des plus jeunes et des moins jeunes."
"Ngushaɓaha za mbali na mbali zini zatsangana, zitsongo tsikingia, ɓila tuhuma, wu mupango wa wutoa shio wunu, ha wuzunguha wu watru, zi zombo na zi zio hari mwa yi archivu departimantali.","Toutes ces potentialités réunies m'ont conduit à soutenir, sans hésiter, ce projet de publication en mobilisant les ressources humaines, matérielles, documentaires et archivistiques de la direction des archives départementales et de la documentation scientifique."
"Shio yini yalawa yisuɗunga, ha wuzuri, yi ɓarnamadji ya yi yezi yangu yatria han ya makuswada yayo, mutoleo wa shio ya wutrangaza yi tarehi ya maore.",Cette implication est conforme à mon plan de mandature qui a inscrit la parution d'un ouvrage de vulgarisation sur l'histoire de mayotte dans ses objectifs.C'est désormais chose faite.
"Amini shio ya matokutoku yini yafanyiwa yijudze yi tarehi na yi maezi ya karni na karni ya maore, yishindre yinbvenulie mashababi wa maore yi aswili yao na yi huswia ya mirandre yao.","Puisse cette bande dessinée répondre aux enjeux de transmission de l'histoire, de la mémoire mahoraise multiséculaire, concourir à dévoiler aux jeunes mahorais leurs racines et leur identité plurielle."
Raisi wa yi kôsei dipartimantali ya maore soibahadine ibrahim ramadani,Le président du conseil départemental de mayotte M. Soibahadine ibrahim ramadani
"1991... Mbeli na kaɓuri la andriantsuli, rasini mahabu. Wamaore wasusherehi, mwaha wa 150 wa muparano wao na yi farantsa.","1991... Devant le mausolée d'andriantsouli, sur la presqu'ile de mahabou. Les mahorais célèbrent le 150ème anniversaire du rattachement de mayotte à la france."
Perezidati,Présidente
"Wananya wangu wamaore, kaɓula ya wami wurenga wu murongo, nisumulisha raɓuzi perezida
Yunusa ɓamana amunanulieni yi tarehi ya maore, yile bvusuke suku, kondro yatru yini yadelwa.","Mes frères mahorais! Avant de prendre la parole, je demande au président younoussa bamana de vous éclairer sur l'histoire de mayotte afin que notre combat ne soit pas oublié un jour."
"Maɓweni na mamonye, asalamu alaikumu. Ɓiɓi perezidati, neka leo ra wafarantsa, de yibvo passot, andriantsuli na kadi umari waparana raɓuzi.","Mesdames et messieurs,Assalam anlaykum! Madame la presidente, si nous sommes aujourd'hui français, c'est parce qu'il ya eu d'abord la rencontre entre passot, cadi omar et adriantsouli"
"Bvale, trongo pia ziandrisa mwaha 1840, ɓandari ya
Nozaudze.","Tout commence donc en août 1840, dans la rade de dzaoudzi."
Namuɓue fetre ya matso!,Mattez les avirons!
Asalamu alaikumu!,Assalam anlaykum!
Wa alaikumu salamu kadi !,"Wa anlaykum salam, ya qadhi!"
Wami de kadi umari ɓin aɓuɓakari ɓin huseni ɓin ali ɓin sulutwani umar alimashauri wa mafaume.,"Je suis le cadi omar ben aboubacar, conseiller du sultan adriantsouli. Nous sommes attendus dans sa résidence."
"Wunu de vincent noël, kôsila wa farantsa záziɓari tsi hale. Wunu de kapiteni passot. Haya, wami de kumanda wa yi markaɓu, aimable constant jehenne. Rakojo whakili yi farantsa.","Voici vincent noël, futur consul de france a zanzibar et le capitaine passot. Quant à moi, je suis le commandant de corvette aimable constant jehenne. Nous representons la france."
"Ɓwana konsili, wawe ulagua shiaraɓu?","M. Le consul,
Vous parlez 
Arabe ?"
"Shifarantsa, shingereza na shiaraɓu, wami ujua wusoma yi kuru-ani na wuangiha yi shiaraɓu.","Français, anglais et arabe. Je lis le coran et j'écris l'arabe."
Tsika mwana- shioni mukirini al azhar misri.,J'ai suivi l'enseignement de la mosquee al azhar en égypte.
Mashala!,Mashallah!
Ha wubvendza ya mungu maore na farantsa ritsokiliana ha wuzuri!,"Avec l'aide d'allah, mayotte et la france, nous nous entendrons bien!"
"Ha yi ngome ndzundra yayo, shisiwa yini ndzangu ya wuhifadwi.","Avec sa haute muraille, cet ilot est facilement defendable."
"Mulahikio wa muzuri, naritahadari risubvitsuhe!","Bel accueil, evitons toute bévue."
"Marahaɓa, mutukufu, yibvo
Harilahiki.","Votre altesse, merci de nous recevoir"
Mufalme wa wafarantsa louis-philip anitrihisa masalamu ya whandzana wunanya yaho na huɓa wufungatsa mayesha ya shisiwa yanyu na yi farantsa.,Le roi des français louis-philippe souhaite par ma voix vous dire toute son amitié fraternelle et sa bienveillante volonté de joindre le destin de votre ile à celui de la france.
"Mukataɓa wa mulishio mwananya waho tsiumeku na waziri wahe fiunzuna wawusinya, wuruhusu nusube, nusu mitsiu na nusu kumba, wana zisiwa wa li ɓavu la kiɓulani Ya jua-la-wutsoa la ɓushini, zingia hari ya hifadwi yatru.","Grace a un traite de cession signé par votre arrière-niece, la reine tsioumekou et son ministre fiunzuna, nosy be*, nosy mitsiou et nosy cumba* sont désormais sous la protection de la france."
Uû...,Hmmm…
"Namuribve zombo za kondro, ritsobva yi shisiwa ya burbo watrwana** 200 kula mwaha.",Donnez-nous des armes et nous fournirons a l’ile bourbon 200 esclaves chaque année.
"Sulutwani salim wa ndzuani asudai yi maore, asutsaha ahubvosheye shiri ya yezi yaho.",Le sultan Salim d’Anjouan revendique Mayotte et souhaite s'emparer de votre trône.
"Andrianavi na djeshi lahe ɓweni, wasudzitayarisha wuja wungilia shisiwa ya ndzaudze,",Nous avons aussi vu Andriannavi et ses hommes dans la baie de Boueni ils se préparent a attaquer l’ilot de Dzaoudzi.
Ritsoshindra rihudifaî.,Nous saurons vous défendre.
"Muhishimiwa, bvanu rihubvingia ɓarua la mujuhu wa mwananya waho mutru-mushe adaio ukuɓali za yi farantsa vile adjali zahukaɓili ziɓanozuhe","Votre altesse, nous sommes ici pour vous remettre un courrier de votre arrière-nièce qui vous recommande de traiter avec la France pour écarter les menaces qui pèsent sur votre royaume"
Saɓu lilo ɓarua la kweli?,Ce courrier est-il authentique ?
Ewa yini de yi hatwi ya mujuhu mutru-mushe wa mwananya wangu mutru-mushe...,Oui. Je reconnais bien lecriture de la petite fille de ma soeur…
"Na muhono wa fiundzuna
Kumanda wa zamani wa djeshi langu.","Et la signature de Fiunzuna, l'ex-commandant de mes Armées."
"Nusube, nusu mitsiu na nusu kumba; wana zisiwa wa kiɓlani ya ɓushini.","*nosy be, nosy mitsiou et nosy cumba: petites iles de la cote nord-ouest de madagascar."
"Amadza tsiparohadisi mukataɓa wa mulishio na wu wangereza mwaha 1837, wawuhara, sirikali ya yi daula ya muhishimiwa kayisutsaha yadzitria hari mwa zi trongo ya masiwa yanu.","J'avais déjà fait une proposition de cession de l’ile aux britanniques en 1837 qu'ils avaient refusée, le gouvernement de sa majesté n'entendait pas s'immiscer dans les affaires de l'archipel"
Trini yiyenesedzeao amba namosinya kamutsoja wunifinyusha maha yio yijao ?,Qui me dit que vous ne reviendrez pas sur votre décision après signature dans les années à venir ?
"Bvutriha damu nyengi, bvutriwa mero mara nyengi tsiju hanyu bvanu. Wutsanganisa nusube na yi maore hari mwa yi beramu ya farantsa yitsobvinga amani ya daima bavu lini hunu.",Votre pays a été longtemps mis à feu et a sang. Réunir nosy be et Mayotte sous le drapeau français ramènera une paix durable dans cette région.
Nale shiwara watru wangu kabula ya wami wutsindza.,J'aimerais consulter mes sujets avant d'arrêter ma decision.
La prévoyante yitsofurahi uyipashie bwana kadi.,La prévoyante serait heureuse de vous accueillir a son bord m. Le cadi.
Kweli rangu mwananya wangu mufalume muawana ahamadi awulawa rislyeshi hari mwa trisiozo.,"C'est vrai que depuis l'assassinat de mon grand-cousin, le sultan muanwana ahamadi ibn mahamoud ibn hassan ibn insa en 1829, nous vivons dans la peur"
Who de sultwani mawana madi ?,Vous voulez dire le sultan mawana madi ?
Mawana shimaore (Mufalume).,Mawana signifie (roi ) en mahorais.
"Dzina la kweli: muawana ahamadi ibnu mahamud ibnu hasani ibnu insa, wananya wahe watru-baba 3: salimu, atumani na abubakari. Mutru-mushe de rukia.","Mawana signifie < roi > en mahorais. En verite, il s'appelait muanwana ahamadi et ses trois frères, salim, attoumani et aboubacar. Roukia ahamadi est leur unique sœur."
"Tsasi Tsasi moni na marikaɓu ya miongori miraru, yiendrao mbio, yaketsisiwa na mizinga 20 na ma ɓaharia 120 wufundrisiwa fetre wugeshimoni na marikabu ya miongori miraru, yiendrao mbio, yaketsisiwa na mizinga 20 na mabaharia 120 wufundrisiwa fetre wugeshi","Voilà notre corvette gréée trois mats, rapide, armée de 20 canons et dotée d'un équipage de 120 hommes parfaitement entraines"
Yio ugaudza aquyi fikira.,De quoi dissuader l’ennemi !
"Nambie rona kadi umari, maore yini jeje mwa na kutru za zanzibari? Tsiwono mauri rikwala kaila nyengi noziani wuendra yatru ha Mufalme","Mais dites-moi cadi Omar, quels sont les cotes de zanzibar ? J'ai cru Très variées sur le chemin de la résidence."
"Ɓila shaka litanaɓah waɓushi wayao, Wamakonde, Wamakua wazambara wanz watsling, Wairan","Certes, vous avez dû reconnaitre des malgaches, des yao, des makonde, des makuwa, des zambara, des wamizi, des watungui, des shiraziens"
"ɓasi kaɓula ya wu waraɓu wala irani, wamaore de wa hanora wayeshi bvanu?","Mais avant l'arrivée des arabo-persans, savez- vous qui étaient les proto-mahorais?"
"Karapara hadisi ya trongo yio. ɓe, range ya mwili na zi nyole za shengini ya wu wamaore zisutoa amba wa handra waja waka mabantu",La tradition orale est muette a ce sujet mais le teint et les cheveux de la majorité des mahorais montrent que les primo-arrivants étaient des Bantous.
"Una haki. Tarehi yisuronsoa amba watru wa handra waja komoru wala kutru zini hunu, bandarini zingibari. Halo ramalidze mahadisi yatru fukoni hangu. Ritsopara rinwe mwana dite","Vous n'avez pas tort. L'histoire du premier peuplement des Comores débute ici, sur la région des cotes de zanguebar poursuivons notre discussion dans ma cabine. Nous y prendrons le the."
"Tafadali, namuketsi!","Je vous en prie, asseyez- vous !"
Ha ha! Mutru wa hazi waho wunu afundrwa fetre swafi.,"Haha! Vous avez la un majordome fort bien élevé, m. Le consul"
ewa,Oui.
Na bvanu kamu namuambie alawe !,D'ailleurs je vais lui demander de se déplacer !
"Kweli sahe, kaɓula ya wu mujilio wa wu wusilamu, wulemengu wa mabantu kawahoya mulawio wa wanadamu ha siɓaɓu ya wutrwana.","Il est vrai qu'avant l'arrivée de l'islam, le monde bantou a connu d'incessants déplacements de populations causes surtout par la traite des esclaves."
"Ewa, ɓiashara ya zumbe wanadamu yiendza kima yikuruɓiao ya yi dahaɓu ali ya zi ngwezi hari mwa ya maɓavu ya wuɓahazazi yaruwa na wu waraɓu","Oui, un marché humain fort lucratif qui côtoie celui de l'or, de l'ivoire ou encore des peaux dans les comptoirs commerciaux crées par les immigrants arabo-persans."
"Ewa, ɓiashara ya zumbe wanadamu yiendza kima yikuruɓiao ya yi dahaɓu ali ya zi ngwezi hari mwa ya maɓavu ya wuɓahazazi yaruwa na wu waraɓu.Wanu wana wandzani waendza nguvu: ɓaharia la indonezi na la shi arabi ya zi ɓahari. Yarendreha de mahunge","Ces derniers ont par ailleurs des allies puissants : les navigateurs indonésiens et arabes, alors maitres des mers."
Waka wutsera yi ɓahari na wurendra dzizi la watru makondanye na wuwawudza ja watrwana.,Ils écumaient les cotes et faisaient des centaines de prisonniers qu'ils revendaient comme esclaves.
"Namujue amba mwaha 650, vhua ɗago la swihilini ya sumatra lashindra yi ɓahari yini yitsongo libua maɓavu ya wuɓahazazi swihilini ya jua-la-wuhea la yi azia.","Figurez-vous qu'en l'an 650, srivijaya, une cité-Etat ou sud de Sumatra a édifie une thalassocratie lui permettant l'installation de comptoirs en Asie du Sud-Est"
"Waka wuendra tu ha wumutama mungu ha wuɗunga li jua mutsana, zi nyora wuku.","Ils naviguaient à l'estime et se repéraient au soleil le jour, aux constellations la nuit."
"Yina maha 3 000, waasili ha mara ya handra, hari mwa zi ɓandari za ɓushini, esa, na murima jua-la-wuhea.","Il y a 3 000 ans, ils touchent les cotes orientales de Madagascar pour la première fois puis l’Afrique de l’Est."
Bantu: nishani zilaguao shibantu zarenga ɓavu la murima ya hari na ya kusini. Oziozi la watru: dzaha la watru wushindzi wujao ha wushindra yi ɓahari.,"Bantou: peuples locuteurs de langues bantoues qui occupent une grande partie de l’Afrique centrale et australe ""puissance politique fondée sur la domination de la mer"
"Moni na yi < shio ya zi lulu za hindi ya kapiteni wa yi mashiwa ya irani ibn shahriyar, ibn lakis muwozizi muaraɓu, asutoa wushahidifu wuka amba, mwaha 945, awono, marikaɓu alifu wa alifu zarvingwa na mawak-wak zaja musambiki","Dans le livre des merveilles de l’Inde du capitaine ou navire persan ibn Shahriyar un marchand arabe, ibn Lakis témoigne qu'en 45, il vit arriver all mozambique, un millier de bateaux aux équipages de wak wak"
Hu... Kitab-al-bahrive yitsoshindra viribve djawaɓu.,Hmm... Le kitab-al-bahriye devrions-nous donner la réponse
Saɓu kabvu alama wutsokao yots! Wa mubvirio wa waostronezi wao maore,Cependant rien ne prouve que ces austronésiens ont séjourne a Mayotte
Angalia madzina ya ya malago ya maore...,Lisez ca population noire et blanche…
"Bvla sa, ya sawa na ya yi shisiwa ya ngudja, kombani, kwale, bagamoyo, ɓushini.","... Elle est parfois identique à celle de l’ile d'Unguja, kombani, kwale bagamoyo et Madagascar"
"Haya, bvanli, yi laka ya gandro, wu muho, wli munadzi, yi singizi yi rambu, wu mua pia zini zija na
Waostronezi","Qui et la pirogue, la râpe à coco, le gingembre, le bétel, la canne à sucre tout cela, c'est austronésien"
"Shengini mwa wu wageni wangiao hari mwa tsi ubva bvahanu bvale bvlawalahiki, muwundrio na li dzina la bvahanu hao wadzawa.","Beaucoup d'émigres redonnent à leurs lieux d'accueil la même architecture, le même nom que celui de leur lieu de naissance."
"Yibvenuha ɓasi amba wunu wudibitifu wa wuka amba hatru hunu <djuzur al Kamar, wakazi wa handra wala murima.","C'est bien la preuve que chez nous ici dans al djouzour al kamar, <les iles de la lune », les premiers habitants viennent d’Afrique."
"Tsi de namuna yio. Ju la maɓaharia waraɓu, <djuzur al- qamar yio de yi ɓushini na zi zisiwa zilio moni na wu kanali ya musambiki.","C'est une erreur. Chez les marins arabes, <djouzour al qmr> désignait plutôt Madagascar et les iles du canal du mozambique et non pas les iles de la lune>."
Zisujibvidza swafizi Trongo. Ɓe gandzi langu lihamutsoshindra muniparie mwana shikombe wa dite ?,Intéressant tout ça mais j'ai le gosier sec moi pourrait-on me servir line tasse de the ?
Wak wak: kaɓila yiketsio bvanu bvlaha maswa yi shini,Wak wak: peuples venant des <iles situées en face de la chine>.
"Wula mwaha 661 ata 750, wakati wa zi yezi za maɓanu muawia, wageni waraɓu wa siri wala damasi waja waɓarizi ɓavu la zingibari, wulawa ekwateri, ɓavu la sofala, ata wuasili musambiki","De 661 a 750, sous le califat omeyyade, partant de damas, des immigrants arabo-persans colonisent la cote de zanguebar, de l'équateur a la province de sofala au mozambique,"
"Baalwi ya watru wa tarehi wasurongoa amba, ari, ha siɓaɓu ya taaɓu na mawaɗe, bvua watrwana waka wubvingwa shini wajeledzwa ngazidja.","D'après certains historiens, suite aux avaries et intempéries recurrentes, des esclaves en partance pour la chine ont pu etre abandonnés en grande-comore."
"Bila shaka, tamatililimuri, Nishani nyengi halisi de zangia maore. Ɓe, maore yijulihana, hususwani, bvolevole bvolevole ha sibabu ya wataojiri wa y norima yayo.",Il est incontestable que Mayotte a fini par connaître une période de peuplement considérable et qu'elle s'est petit a petit faite connaitre pour ses richesses agricoles
"Na, ha wutaalamu wayo hari mwa wufua shuma wula karni ya 9 ata ya 11 karibu na li dago la Dembeni.",Également pour son savoir- faire dans la production de metaux vraisemblablement entre le ix et le xie siècle près du village de Dembeni
"Ɓe, watru wa tarehi kawaji trongo nyengi zapatana na wu wabeja waendresa yi maore",Par contre les historiens savent peu de choses des beja qui ont dirigé Mayotte
"Mwandzani, wami Ne tsiji. Nitsoshindra tu nihuambie amba mubeja wa handra wa maore aka de mwana mutru-ɓaɓa wa mwamlitsingo na ahamadi sharifu, mwana wa mufallime muswahili aja apahua sulu.","Moi non plus mon cher. Je peux juste vous apprendre que le premier beja de mayotte était le fils de la princesse mwamstingo et d'ahamadi charifou, un prince swahili débarque a soulou...."
Na wuka amba muarata wa wufalme wurengwa de wula wubvandre wa mama.,Et que la succession du pouvoir se poursuit selon la filiation matriarcale.
"Yibvo mafani yaja, mashiiti wadzivuru. Wala ɓavu la swahili, murima ya jua-la-wutsoa. Shengini yao waka watru-ɓaɓa, ɓe bvuka na watru washe mauri de mwamutsingo tsingoni.","Puis vinrent les fani», des dissidents chiites. Ils venaient de la cote swahilie en Afrique de l’Est. Hommes pour la plupart mais aussi des femmes telle que mwamtsingo Des A Tsingoni."
"Ndzuani mazefu 40 wagauha mafani, maore 33. Mwengoni mwao, ali madi mutsai wa mungu tsi mwanadamu jimawe.","A Anjouan, ho chefs ont porte le titre de <fani et 33 à Mayotte. Parmi eux, Ali Madi mutsay wa mungu tsimwanadamu a Jimawe."
Beja: shefu muaɓudu za ngina wa mabantu,Beja: chef fétichiste bantou
Swahili: wudjimulifu wa zi kaɓila za murima ya jua-la-wuhea zilasuao shiswahili luha ya shibantu yatsasana na shiaraɓu,"Swahilis ensemble de peuples d’Afrique de l’Est parlant le swahili, une langue bantoue Influencée par l'arabe"
Mazefu yao ha wuengi! ziendre jeje ata maore yala ha mafani yangia ha masulutwani ?,"Avec tous ces chefs, comment Mayotte est-elle passée des fanis aux sultans ?"
"Ɓavu la jua-la-wuhea La yi murima, wula rangu karni ya 12 yika wuendresewa na waraɓu wa yi shisiwa ya kilwa",La côte africaine de l'est se trouve a partir du xiie siècle sous la dépendance des shiraziens de l’ile de kilwa
"Bvua wapashia waendra hari mwa masiwa ya komoro. Wapatana na mafani waka, wadjadidisa nauyi ya masulutwani  amadza yaka esa wadzikztsisa wao masulutwani.","Un groupe d'entre eux s'embarque pour l’archipel des Comores, ils s'allient avec les fanis en place renforcent l'islam déjà présent et, s'autoproclament sultans."
"Mwalimu boro fani wa hwisa wa mutsamboro, mwana wahe djumbe amina mwisoni mwa yi karni ya 15, alolwa na mufalume mwaraɓu atumani bin ahmad.",Mwalimu boro fut le dernier fani de mtsamboro. Sa fille djoumbe amina épousa a la fin du xve siècle le prince shirazien attoumani ben ahmed
Wuo de wu mwandro wa yi sili ya handra ya masulutwani 14 yabvira kaɓula ya andriantsuli,C'est à ce moment-là que se fonde le premier lignage des 14 sultans shiraziens qui se succederent a mayotte avant andriantsouli
"Watria noziani yezi ya ma-éhé-éhé yaketsisa kula mutru hari mwa daradja yahe: wafalume, makabaila…","Ils mettront en place une aristocratie et créeront une societe de classes avec les mafalume (sultans et princes), les makabayila les nobles de sang),"
"Wangwana, Wazendzi, haya wutsin Muhalasi, Warumwa","les wangwana (les gens libres), les Wazendzi les gens de rien) et tout en bas de l’échelle les warumwa (les esclaves)"
Muwashio wa wu mukiri wa mufalume whambushu tsingoni. Yi mihrabu yikadzwa mwaha 1538. Who moja mengoni mwa yi mikiri ya handra ya ya masiwa ya komoru,La construction de la mosquée royale est entreprise a Tsingoni. Le mirhab est implante en 1538. C'est l'une des premières mosquées de l'archipel
"Atumani ɓin hasani, muaraɓu ala nozhani aka wuja wumulola djumbe amina, mwana wa fani mwalimu boro.","Mohamed ben hassan, shirazien venu d’Anjouan se rend à Mayotte pour se maier avec djoumbe amina (mwana singa), petite fille du fani mwalimu boro."
Shirazie kaɓila yiyeshio hari mwa li ɓavu la maswahli murima hususan hari mwa zi zisiwa za zanzibɓri,Shirazens peuple vivant sur la côte swahili en afrique de l’est et tout particulièrement les iles de zanzibar
Lini de traho la wufalme wa shiarɓu wa handra wa maore.,Ils fonderont la première dynastie princière de Mayotte.
Waja wamudza haisa bin mohamad atsojao aariti wula ha ma yahe yi shiri ya wufaume ya maore.,De leur union naitra haissa ben mohamed qui heritera par sa mère du droit de regner sur le sultanat de mayotte.
"Wufa yahe, wamaore kawakiri mudzade wahe mwana alashura aketsio ndzuani arenga yi yezi. Wamubva de mwana wahe mwana mwangwana, mufalume mana ma yahe mumaore.","A sa mort les mahorais refusent l'autorité de sa veuve anjounaise moina alachoura et lui préfèrent sa fille moina mgwana amina, issue d'une mère mahoraise."
"24 me 1453, kostatinoplu yigamatrwa na kalmu za muhamad ii zala otoma. Nozia za wuɓahazazi zifungatsao yi eropa na mahariɓi ziɓalwa",Le 24 mai 1453. Prise de Constantinople par les troupes ottomanes de mehmed ii. Les routes commerciales reliant l’Europe et l'orient sont fermées.
Yitsongo zisiwa za wu muro wa musambiki na ya malago-dalla ya li ɓavu la swahili zingia hari mwa yi nozia mahususu ya wugahazazi ya wu wulemengu,Ce qui mettra les iles du canal du mozambique et les cites Etats de l'ère swahilie au cœur de la principale route commerciale du monde!
"Mwezi 25 wa jue 1638, ha li dzina la mufalume louis 13, farantsa yirenge zi masikarenyi (shisiwa ya Burbo, Murisi na Rodirigi).","le 25 juin 1638, au nom de louis xiii, la france prend possession des mascareignes, Deux bateaux francais la marguerite et le saint-alexis abordent la cote de l'ile bourbon."
Kumâda Salomon Goubert de mufarantsa wa handra atria mundru wahe Burbo (Larinyo).,C'est Salomon Goubert qui pose le premier pied français sur l’ile
Tafadali kumâda!,A vous l'honneur commandant !
"10 novamburu 1638, wafarantsa waili na warumwa waɓushi 10 watru-ɓaɓa na wararu watru-mama, waamɓushu muketsio.","Le 10 novembre 1663, deux français s'y installent avec dix serviteurs malgaches et trois femmes."
"Rangu 1718, wakolo waandrisa wutaɓu kafe.","Des 1718, les colons y plantent ou café."
